p,propLabel,eff
http://www.wikidata.org/prop/direct/P2383,CTHS person ID,8
http://www.wikidata.org/prop/direct/P4081,BHL creator ID,8
http://www.wikidata.org/prop/direct/P5508,archINFORM person/group ID,8
http://www.wikidata.org/prop/direct/P8851,CONOR.SR ID,8
http://www.wikidata.org/prop/direct/P11182,UOM ID,8
http://www.wikidata.org/prop/direct/P886,Lexicon istoric retic ID,7
http://www.wikidata.org/prop/direct/P2268,Musée d'Orsay artist ID,7
http://www.wikidata.org/prop/direct/P2843,Benezit ID,7
http://www.wikidata.org/prop/direct/P3360,Nobel Prize People Nomination ID,7
http://www.wikidata.org/prop/direct/P5375,BIU Santé person ID,7
http://www.wikidata.org/prop/direct/P5370,Entomologists of the World ID,7
http://www.wikidata.org/prop/direct/P6821,Alvin ID,7
http://www.wikidata.org/prop/direct/P13166,PUG authority ID,7
http://www.wikidata.org/prop/direct/P1580,University of Barcelona authority ID (former scheme),6
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,6
http://www.wikidata.org/prop/direct/P5034,National Library of Korea ID,6
http://www.wikidata.org/prop/direct/P7666,Visuotinė lietuvių enciklopedija ID,6
http://www.wikidata.org/prop/direct/P7929,Roglo person ID,6
http://www.wikidata.org/prop/direct/P8081,WBIS ID,6
http://www.wikidata.org/prop/direct/P8849,CONOR.BG ID,6
http://www.wikidata.org/prop/direct/P9720,fotoCH photographer ID,6
http://www.wikidata.org/prop/direct/P10227,National Library of Ireland ID,6
http://www.wikidata.org/prop/direct/P12597,museum-digital person ID,6
http://www.wikidata.org/prop/direct/P54,member of sports team,5
http://www.wikidata.org/prop/direct/P549,Mathematics Genealogy Project ID,5
http://www.wikidata.org/prop/direct/P650,RKDartists ID,5
http://www.wikidata.org/prop/direct/P800,notable work,5
http://www.wikidata.org/prop/direct/P1296,Gran Enciclopèdia Catalana ID (former scheme),5
http://www.wikidata.org/prop/direct/P1447,Sports-Reference.com Olympic athlete ID (archived),5
http://www.wikidata.org/prop/direct/P4985,TMDB person ID,5
http://www.wikidata.org/prop/direct/P6275,copyright representative,5
http://www.wikidata.org/prop/direct/P7982,Hrvatska enciklopedija ID,5
http://www.wikidata.org/prop/direct/P8795,Diamond Catalog ID for persons and organisations,5
http://www.wikidata.org/prop/direct/P8947,Museo Galileo authority ID,5
http://www.wikidata.org/prop/direct/P9037,BHCL UUID,5
http://www.wikidata.org/prop/direct/P9984,CANTIC ID,5
http://www.wikidata.org/prop/direct/P11686,University of Barcelona authority ID,5
http://www.wikidata.org/prop/direct/P12385,Gran Enciclopèdia Catalana ID,5
http://www.wikidata.org/prop/direct/P12607,droitne.ch author ID,5
http://www.wikidata.org/prop/direct/P451,unmarried partner,4
http://www.wikidata.org/prop/direct/P906,SELIBR ID,4
http://www.wikidata.org/prop/direct/P1472,Commons Creator page,4
http://www.wikidata.org/prop/direct/P2605,ČSFD person ID,4
http://www.wikidata.org/prop/direct/P2868,subject has role,4
http://www.wikidata.org/prop/direct/P2963,Goodreads author ID,4
http://www.wikidata.org/prop/direct/P3222,NE.se ID,4
http://www.wikidata.org/prop/direct/P3219,Encyclopædia Universalis ID,4
http://www.wikidata.org/prop/direct/P3782,Artnet artist ID,4
http://www.wikidata.org/prop/direct/P3919,contributed to creative work,4
http://www.wikidata.org/prop/direct/P5587,Libris-URI,4
http://www.wikidata.org/prop/direct/P6404,Treccani's Dizionario di Storia ID,4
http://www.wikidata.org/prop/direct/P7369,National Library of Chile ID,4
http://www.wikidata.org/prop/direct/P7545,askArt person ID,4
http://www.wikidata.org/prop/direct/P7865,CoBiS author ID,4
http://www.wikidata.org/prop/direct/P9493,artist files at,4
http://www.wikidata.org/prop/direct/P10141,Academy of Athens authority ID,4
http://www.wikidata.org/prop/direct/P10299,Leopoldina member ID (new),4
http://www.wikidata.org/prop/direct/P10351,Turin University student ID,4
http://www.wikidata.org/prop/direct/P12098,Kinobox person ID,4
http://www.wikidata.org/prop/direct/P607,participated in conflict,3
http://www.wikidata.org/prop/direct/P640,Léonore ID,3
http://www.wikidata.org/prop/direct/P812,academic major,3
http://www.wikidata.org/prop/direct/P968,email address,3
http://www.wikidata.org/prop/direct/P1185,Rodovid ID,3
http://www.wikidata.org/prop/direct/P1273,CANTIC ID (former scheme),3
http://www.wikidata.org/prop/direct/P1556,zbMATH author ID,3
http://www.wikidata.org/prop/direct/P1581,official blog URL,3
http://www.wikidata.org/prop/direct/P1819,genealogics.org person ID,3
http://www.wikidata.org/prop/direct/P1830,owner of,3
http://www.wikidata.org/prop/direct/P2031,work period (start),3
http://www.wikidata.org/prop/direct/P2397,YouTube channel ID,3
http://www.wikidata.org/prop/direct/P2639,Filmportal ID,3
http://www.wikidata.org/prop/direct/P2734,Unz Review author ID,3
http://www.wikidata.org/prop/direct/P2799,BVMC person ID,3
http://www.wikidata.org/prop/direct/P3280,BAnQ authority ID,3
http://www.wikidata.org/prop/direct/P3413,Leopoldina member ID (superseded),3
http://www.wikidata.org/prop/direct/P3901,ADAGP artist ID,3
http://www.wikidata.org/prop/direct/P4619,National Library of Brazil ID,3
http://www.wikidata.org/prop/direct/P4663,DACS ID (former),3
http://www.wikidata.org/prop/direct/P4927,Invaluable.com person ID,3
